init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km,lon_nhc,lat_nhc,mslp_nhc,erro_km_nhc
2022100600,0,2022100600,-65.0773,10.8426,1007.79,-65.0773,10.8426,1007.79,0.00,,,,
2022100600,24,2022100700,-67.2374,11.5562,1009.47,-68.4974,11.1994,1006.05,142.97,-69.2000,11.9000,1004.00,217.07
2022100600,48,2022100800,-69.4874,11.6454,1009.05,-75.2476,13.0726,1001.22,645.44,-75.5000,12.8000,999.00,665.88
2022100600,72,2022100900,-70.1174,11.3778,1008.16,-81.8178,12.5374,994.88,1279.18,-82.0000,12.5000,989.00,1298.59
2022100600,96,2022101000,-71.1975,9.8614,1009.29,-87.2179,12.5374,1000.02,1772.24,-87.6000,12.6000,993.00,1814.27
2022100600,120,2022101100,-72.1875,8.9694,1011.49,-86.7679,16.0163,1007.83,1765.01,-89.0000,13.0000,1002.00,1888.50
