time,lon_obs,lat_obs,mslp_hPa_obs
2022100600,-65.0773,10.8426,1007.79
2022100700,-68.4974,11.1994,1006.05
2022100800,-75.2476,13.0726,1001.22
2022100900,-81.8178,12.5374,994.88
2022101000,-87.2179,12.5374,1000.02
2022101100,-86.7679,16.0163,1007.83
