init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023031100,0,2023031100,-84.0423,-8.9296,1007.95,-84.0423,-8.9296,1007.95,0.00
2023031100,24,2023031200,-84.9343,-9.0188,1009.72,,,,
2023031100,48,2023031300,-85.1127,-8.8404,1009.26,,,,
2023031100,72,2023031400,-85.2019,-9.2864,1009.55,,,,
2023031100,96,2023031500,-86.0939,-9.3756,1010.13,,,,
2023031100,120,2023031600,-86.4507,-10.1784,1010.56,,,,
