init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023030800,0,2023030800,-85.7371,-6.5211,1008.75,-85.7371,-6.5211,1008.75,0.00
2023030800,24,2023030900,-84.9343,-6.1643,1009.67,-85.5587,-6.4319,1009.57,75.15
2023030800,48,2023031000,-84.1315,-6.4319,1009.73,-85.7371,-7.2348,1009.00,198.48
2023030800,72,2023031100,-84.3099,-7.0564,1009.83,-84.0423,-8.9296,1007.95,210.37
2023030800,96,2023031200,-83.5963,-6.5211,1010.15,,,,
2023030800,120,2023031300,-83.8639,-5.7183,1010.76,,,,
