date,lat,lon,min_mslp
2022100700,11.199389,-68.4974,1006.04578125
2022100800,13.072619,-75.2476,1001.225
2022100900,12.537411,-81.81779,994.87890625
2022101000,12.537411,-87.21795,1000.02109375
2022101100,13.607828,-94.05815,1007.19765625
