p_hPa,z_m,T_obs_C,T_monan_C,td_obs_C,td_monan_C,U_obs_ms,U_monan_ms,theta_obs_K,theta_monan_K,N_obs_1s,N_monan_1s,l2_obs_1_m2,l2_monan_1_m2,Ri_obs,Ri_monan,Fr_obs,Fr_monan
1005.0,75.0,13.0,13.767364501953125,10.0,7.463226318359375,3.9999999999999996,7.584956656891725,285.74211606853277,286.5083867537816,0.0,0.01868652248714427,-0.0002847426873866681,-6.6513366917256145e-06,-15.69011132294815,349.1861226625485,,0.013579512244666752
1004.0,83.0,11.8,13.767364501953125,11.2,7.463226318359375,4.0,7.584956656891725,284.6248530806026,286.58997268868956,0.0,0.018821209807688335,-0.00014415722607774112,-5.09225726803687e-06,-9.495624187197416,354.23793862502356,,0.013482335275852433
1000.0,113.0,11.6,13.767364501953125,10.8,7.463226318359375,5.000000000000001,7.584956656891725,284.75,286.9173645019531,0.01213652705909132,0.01893797101782589,3.2176944187364536e-05,-5.429034668423827e-07,0.09831736502018386,52.718852566469415,0.013782726278788399,0.01339921054296489
975.0,325.0,10.6,13.27508544921875,9.5,5.099029541015625,14.999999999999998,9.680311504426882,285.8120599808041,288.5065857353975,0.0201002964257999,0.01610263286004959,2.4362554026949487e-06,2.2758115379114186e-06,0.11534915347762457,0.6876417324708851,0.02496596471321556,0.020111848880450225
971.0,359.0,10.7,13.19632080078125,9.8,4.720758056640625,17.0,10.131465217333693,286.2491454322025,288.76656553418684,0.02100451189165515,0.016099158359176236,3.242753446159884e-06,2.7795496748657115e-06,0.12152099007309854,0.7046693524114671,0.027076709346903222,0.02105371021076513
949.0,551.0,11.3,12.75032958984375,11.3,2.72270263671875,26.999999999999996,12.770732971184021,288.7405645973889,290.2127705549343,0.02328729553490489,0.014837726584116282,3.5069015654677024e-05,9.892972757900409e-05,0.19367322319446645,28.520592190150868,0.038788614288470524,0.028794398816088803
947.0,568.0,11.4,12.6853759765625,11.4,2.6984423828125,27.0,12.713290196398702,289.0164058611377,290.3219575916819,0.02015016381594288,0.014474360280732798,6.378016386074742e-05,0.0001094736940797767,0.05284684583754509,11.085361009302593,0.04482752262343236,0.029384488644128272
946.0,577.0,11.4,12.652899169921875,11.4,2.686312255859375,27.0,12.684635935460477,289.1037499597573,290.37669969915595,0.017968743573556104,0.01434327389656578,7.389265849819724e-05,0.00010816388430228667,0.030421954211545792,11.303487488851585,0.050269620723753454,0.029586205584922257
925.0,765.0,10.6,11.97088623046875,10.6,2.43157958984375,29.0,12.093817412727098,290.1478352045351,291.5496314057059,0.013879137679086545,0.012194617907703126,6.856641240908385e-06,-5.812094056856058e-07,0.08910496779156733,5.484666822353536,0.0699028800585489,0.03317834859208311
917.0,837.0,10.3,11.524925944010416,10.2,2.958799641927083,29.999999999999996,12.290616209983764,290.56201012454704,291.81767053924233,0.013961603016901497,0.01122033458601619,1.079800800490572e-06,-4.239293634566886e-07,0.187755716886172,1.774464561219288,0.0718861996984445,0.03664606987260352
866.0,1313.0,8.4,8.681929117838541,7.3,6.319827473958333,25.0,14.101823303924036,293.3765617770141,293.6703333815472,0.014198565953898023,0.01163418314506968,-1.8041247977038547e-07,-3.7080468633828046e-07,3.6762805187423586,2.1455918252483386,0.0589053961413059,0.04055075344410396
850.0,1468.0,7.8,7.790008544921875,6.4,7.374267578125,26.999999999999996,14.832038598151843,294.3169157185794,294.30644889443937,0.014421941801988804,0.011657106959681534,-2.455157498598566e-07,-1.0769410512585369e-07,3.959627665026972,4.56906714024812,0.06263247603734497,0.04256666456284752
833.0,1635.0,7.2,6.812923583984375,5.8,6.190112711588542,27.0,15.702293891907301,295.3902048761067,294.9823626009879,0.013783196337933054,0.011641012690576243,-2.269170213676877e-07,2.7010270393984905e-07,6.202714309341045,3.750072693581852,0.06553501105103644,0.04512652527813892
759.0,2393.0,1.6,2.403851318359375,1.5,1.107593994140625,27.999999999999996,20.44450503386109,297.29564896708507,298.16546334147887,0.011809748372787202,0.011211109519951568,-3.4237879807524676e-07,1.03868552999018e-06,6.44836964522125,1.3404377989841565,0.07931894743580235,0.061008108588857926
749.0,2500.0,1.0,1.7316711425781248,-0.4,0.45605590820312525,28.0,21.507021606751458,297.7737775128732,298.5684974837747,0.012294629251584064,0.011195099946452297,-3.418937736286475e-07,1.2892493946290256e-06,1.9057343412713434,1.214526683557495,0.07619073265592531,0.06427052561808089
730.0,2706.0,-0.1,0.45452880859375,-4.0,-0.7818664550781249,33.0,23.53184707374711,298.7664610934937,299.37321666836266,0.017147079440824643,0.01141790377121554,-7.418130496818628e-07,1.880482353249987e-07,0.7122922552262384,1.3207489230743763,0.06438479769407486,0.06894919409223815
714.0,2884.0,0.2,-0.6209594726562501,-18.8,-1.824327392578125,36.0,25.2419385905749,300.9964612095252,300.0924703697009,0.014046319236084352,0.01160632449350827,-4.696495655676507e-07,-4.801122715393253e-07,0.4324174750672455,1.4186689840993782,0.0857431672210665,0.07275913926175961
700.0,3042.0,-1.3,-1.56201171875,-12.3,-2.736480712890625,40.0,26.74126953290994,301.04491640663724,300.7547663387003,0.0062063859329842186,0.011817941344290962,9.501850991971296e-08,4.6637805501005884e-09,0.07158015648592436,1.299661504576547,0.21561589271021533,0.07570067408176136
650.0,3629.0,-4.7,-4.86199951171875,-34.7,-13.229560852050781,49.00000000000001,33.825874856336796,303.6478345360774,303.46459445066375,0.013183916330545933,0.012533282119501896,-2.1590604331257443e-06,-3.08195894335984e-06,0.5957084697696374,0.9034445677962071,0.12434009569838114,0.09029085751776181
629.0,3887.0,-5.9,-6.247994384765625,-34.9,-17.636654510498047,53.0,36.908438577698625,305.1431529036142,304.74581668748647,0.020433760429694355,0.01278948420283888,-2.0267017170084244e-06,-2.951027519279454e-06,0.9751324623537866,0.991700187273965,0.08677350254079026,0.09654553605524765
621.0,3987.0,-5.5,-6.775992431640625,-39.5,-19.31554733276367,55.0,38.094385188295156,306.72067414000685,305.25841649446096,0.021805880854426973,0.012779327790398302,-1.3340976211590328e-06,-1.942063357130788e-06,0.9973570773674287,0.9581978919590166,0.08438176595662047,0.09972694478910447
525.0,5281.0,-14.7,-14.414146423339844,-46.7,-23.742576599121094,75.0,58.385249228788155,310.7498843820392,311.0935832247451,0.01555933389878139,0.012369651228815783,-1.1970636797174407e-06,-1.6674864246782502e-06,0.5130135219148351,0.5634837624998482,0.1612611743395378,0.15790840226021596
503.0,5605.0,-15.5,-16.248113098144533,-45.5,-23.748424377441406,79.99999999999999,63.51958021910284,313.604079159195,312.6934976755911,0.01900978609665282,0.012649238675628866,-2.385749417605657e-06,-1.736468626605361e-05,0.7762512448360421,0.6110804501459318,0.14079016319706406,0.16799748783000543
500.0,5650.0,-15.5,-16.498199462890625,-47.5,-23.749221801757812,81.0,64.22202768921248,314.1410749887595,312.92401520872585,0.01934141133165872,0.011784637466519176,1.0877940737964405e-06,-1.2033310902931295e-05,11.74014164135328,0.5189317380010685,0.14010589643681118,0.1823170739588652
499.0,5665.0,-15.5,-16.59347885131836,-50.5,-23.806587982177735,81.0,64.46190344797004,314.3209951160597,312.98700186674955,0.018868249300568334,0.011487635868482789,2.2925123757211517e-06,-8.590091632237934e-06,231.07721583871108,0.4887547271735334,0.1436193538577805,0.18772928228536112
483.0,5905.0,-17.5,-18.11794906616211,-50.5,-24.724446868896486,84.0,68.3058601929575,314.80159031916145,314.04066190623723,0.007967734902975783,0.011853226808811443,2.0544333960779793e-06,4.025600080679578e-06,1.3477640567755467,0.5378635038803066,0.35269878647492736,0.19278841185006274
458.0,6297.0,-20.7,-20.49993377685547,-50.6,-26.158601379394533,78.0,74.33139991463361,315.6224221141557,315.8725523812665,0.007910103423971217,0.01227656823424053,-3.795807620709632e-08,-2.3684037040115574e-08,0.27253675823041307,0.641050124692175,0.3298921613096597,0.2025605584001551
408.0,7148.0,-27.7,-25.263903198242186,-50.7,-29.026910400390626,83.0,86.43530627970632,317.1861604385483,320.33424025523675,0.009293258691498732,0.013290023092482523,-3.66042661271811e-07,-5.007753704323205e-07,1.0440832296595974,0.8985794743734934,0.2987924513160796,0.21758301737199595
402.0,7254.0,-28.5,-25.835579528808594,-41.5,-29.371107482910155,84.0,87.89145294205528,317.49476505433773,320.95251919906235,0.01210965301584812,0.013364383194295532,-3.738881607812844e-08,1.484437353900652e-06,21.82109954502341,0.9420194616368486,0.23206366256371747,0.2200175274362451
400.0,7290.0,-28.7,-26.026138305664062,-37.7,-29.48583984375,84.0,88.3769824362708,317.68805377221963,321.1630135502097,0.007422574168559066,0.011387993090185088,4.519368631095999e-09,2.492716508820644e-06,55.094607287760326,0.5765828865137044,0.37860321330800845,0.25962800087998505
398.0,7326.0,-29.1,-26.30701202392578,-34.1,-29.891816101074216,84.0,88.9378946033007,317.6232266951641,321.2582107274586,0.012998842597718214,0.0090317274709852,-5.0478871907717524e-08,2.2066299597214244e-06,2.4470870127900186,0.30446971009164436,0.21618928070771312,0.32943942808845345
394.0,7398.0,-28.7,-26.86875946044922,-28.8,-30.703768615722655,85.0,90.06076156619586,319.0642326402214,321.45442841658235,0.022232081322078805,0.009185989178977533,-9.876531491735124e-07,-2.6590203936330874e-07,1.001530174899854,0.31825024910336597,0.1279081915958779,0.3279965238714793
383.0,7600.0,-29.9,-28.413564910888674,-30.5,-32.936638031005856,88.0,93.15544632500556,320.07960290911393,322.03552296285665,0.013233559998729551,0.009581363178287543,-2.5669630068625976e-06,-2.578628871653962e-06,0.2758266514358481,0.3610523519598086,0.22246696851493977,0.32526737449702536
381.0,7637.0,-30.1,-28.69443862915039,-38.1,-33.342614288330076,89.0,93.71913321388678,320.2956809050166,322.14795507218406,0.013135794231266559,0.009654464898979625,-2.054739583250742e-06,-2.0776991562074324e-06,0.2525254822940142,0.3690387409025954,0.22666957240978003,0.3247578150179193
351.0,8213.0,-34.7,-32.90754440307617,-38.2,-39.432258148193355,96.0,102.20752676830006,321.69143014740007,324.1096209817474,0.010080316744817684,0.010671322184174572,7.499648896526665e-07,7.61754489333756e-07,0.4290524757362322,0.5158701219519909,0.31860795107633527,0.320423383922158
317.0,8916.0,-39.3,-37.68239761352539,-42.8,-46.33385452270508,106.0,111.8901686853382,324.8137647779107,327.06058761761375,0.009771790980817225,0.0118072375351613,-9.776942226180286e-10,3.271862473644455e-08,0.351385171819839,0.7426899111106998,0.3629035795065063,0.31703206074889945
300.0,9290.0,-42.3,-40.06982421875,-45.4,-49.78465270996094,111.0,116.75146319645984,325.74158109524257,328.88847728369694,0.00774921020678953,0.00917091364538508,-7.188679113235314e-07,-2.8608273306551444e-07,0.3465526758678199,0.9645280777204096,0.47920913957204625,0.4259016116229669
284.0,9660.0,-45.5,-43.4950732421875,-48.2,-51.06710388183594,115.0,118.76137231108093,326.30115375195123,329.1749069444062,0.014723931609728118,0.005597432479574801,-7.328028989449547e-07,-3.2861973120637224e-07,0.5354404963379104,1.0447069002778184,0.2612965070661601,0.7098161874387569
282.0,9707.0,-45.7,-43.923229370117184,-50.7,-51.22741027832031,116.0,119.0126368751551,326.67409466768186,329.2259739244376,0.015030055155121813,0.0057803502882529155,-5.531424748936816e-07,-2.515677877930373e-07,0.524908425646199,1.1243203866837188,0.2582004354565951,0.6888084650436707
250.0,10500.0,-53.1,-50.77372741699219,-56.7,-53.79231262207031,125.0,123.0336133993487,327.1225857240448,330.5807829630926,0.0060270913064029525,0.01059741648126494,-2.5945387451710216e-07,4.5510185253822156e-08,0.07401239750226438,4.7692075145488175,0.693843937011782,0.38840367634081646
237.0,10840.0,-56.1,-53.09125671386719,-59.3,-57.60180694580078,122.99999999999999,124.41017495736547,327.6285677004713,332.1701491490505,0.006426364133376872,0.012026439718232706,-3.662444133676752e-07,-1.4899433064984904e-08,0.08712939443597666,5.87434407871214,0.6403233466370032,0.34608149449600056
232.0,10976.0,-57.3,-53.98261413574219,-60.4,-59.066997070312496,126.99999999999999,124.94173622983715,327.81022004025783,332.8483158944195,0.007432385058032037,0.012259190232368022,-1.556965487233232e-07,1.860437906149142e-08,0.06053242447636805,6.32061332931319,0.5716564063570373,0.34096147247426795
210.0,11598.0,-61.7,-57.90458679199219,-65.8,-65.51383361816406,148.0,127.29409497413053,330.40983888867396,336.34051690510245,0.011718588892371061,0.013272580495777099,9.7478409713036e-07,7.322765119246443e-08,0.15796137748283837,8.652951564840734,0.42251871673457847,0.3208576846190024
206.0,11718.0,-62.5,-58.617672729492185,-66.8,-66.68598571777343,143.0,127.72409701480957,330.9751886943213,337.0751364794123,0.019522053363938873,0.013502196554805937,1.3916838304555957e-06,3.2917266815133495e-07,0.23761773640995654,9.12386355578407,0.24505868420333457,0.3164666651635408
203.0,11808.0,-62.3,-59.152487182617186,-65.2,-67.56509979248047,142.0,128.04705177217653,332.6823330847112,337.648526622776,0.02253320451426733,0.013646776225933382,1.8532325447715244e-06,1.380032582170843e-06,0.10509053815735067,9.513566769620631,0.2108263749712163,0.31390560376890553
200.0,11900.0,-62.3,-59.68730163574219,-68.3,-68.4442138671875,140.0,128.37039175223381,334.10196243766956,338.24190861151936,0.02691202449614331,0.019091696654938827,1.5901697727215315e-06,1.8157486046715546e-06,0.5301384918305273,5.317495299923149,0.1740368530330005,0.2249468400069982
198.0,11962.0,-61.7,-59.648818359375,-70.7,-68.8821923828125,139.0,127.44698685811257,336.01715087413595,339.2767025923111,0.02913695374984071,0.021981476497709956,1.1070159959437064e-06,1.3598562872388991e-06,3.2556406514963667,2.037673777562876,0.1595990166266133,0.19396897327623458
180.0,12550.0,-63.1,-59.302468872070314,-76.1,-72.8239990234375,130.0,119.1604731307171,343.0162931900909,349.2177454670556,0.025863899121244566,0.02179823616978528,-9.578666457737437e-08,-1.2918469250378883e-07,1.8149589789476768,2.468572192356596,0.16815466108983937,0.18288177187845941
168.0,12984.0,-58.9,-59.071569213867186,-80.0,-75.4518701171875,123.00000000000001,113.66338619201116,356.8472678742106,356.5615082232429,0.029910600675131377,0.021685923223227238,2.930696937010816e-07,2.46002865894313e-07,0.6626216408218917,2.8482848547406436,0.1375750033670566,0.1753485705023029
158.0,13369.0,-55.1,-58.87915283203125,-83.6,-77.6417626953125,102.00000000000001,109.10193585823264,369.6069799117986,363.20110389770923,0.029929430606666446,0.021656824679784838,-5.871345820508645e-07,-4.5340153668668224e-08,1.8731766577674671,3.209374583123147,0.11401481122809734,0.16853776534094517
156.0,13449.0,-54.3,-58.840669555664064,-84.3,-78.0797412109375,104.0,108.19198317021537,372.31704222662603,364.59225968747444,0.027198416766404096,0.021598833308147762,-4.305789612138736e-08,4.4344593923286593e-07,0.6185096150993318,3.3039888686438625,0.12792318695746419,0.16758083275844293
150.0,13700.0,-55.3,-58.7252197265625,-84.3,-79.3936767578125,110.0,105.46716301675892,374.7964461169786,368.90358322652463,0.022368701592346975,0.021306146469107144,1.9971121579557063e-06,1.2949079858671533e-06,1.7765003418465835,0.6493957200716787,0.16451725882612117,0.16560441512345556
149.0,13743.0,-55.2,-58.70963836669922,-84.3,-79.58288696289063,109.00000000000001,104.21778421823184,375.68650975424083,369.636847958027,0.02331344700320632,0.021282234736415096,1.6039957185388618e-06,8.283172718641765e-07,0.7405577137206015,0.5367485425928415,0.15641541908773876,0.1638265032948951
141.0,14098.0,-54.2,-58.58498748779297,-84.3,-81.09656860351562,91.0,94.22579632390908,383.4142795298579,375.73550895036675,0.023677689726831146,0.02124775445512507,-1.2581756471598272e-06,-1.1541824481841888e-06,0.1741366600507249,0.59813159882817,0.12857650678589716,0.1483598320494191
131.0,14572.0,-52.9,-58.429173889160154,-84.4,-82.98867065429687,62.00000000000001,81.74562549443479,393.89124377626507,384.00296599984495,0.023676551867918814,0.021226283250699435,-3.189707354187874e-08,6.034242091052955e-08,1.1662324653706941,0.6909791799983913,0.08760578604984691,0.1288398235646952
124.0,14925.0,-51.9,-58.320104370117186,-84.4,-84.31314208984375,73.0,73.0187665481167,401.94319228674146,390.2798375055484,0.02375302503335955,0.021211640973558762,9.322848311950576e-07,2.8063454011210163e-07,4.436191346268724,0.76943204844378,0.10281665938785997,0.11516480596955293
