init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023030700,0,2023030700,-87.69954681396484,-7.76996374130249,1008.1917114257812,-87.69954681396484,-7.76996374130249,1008.1917114257812,0.00
2023030700,6,2023030706,-87.69954681396484,-6.967151641845703,1010.2703247070312,nan,nan,nan,
2023030700,12,2023030712,-87.52114868164062,-6.610345840454102,1010.278076171875,nan,nan,nan,
2023030700,18,2023030718,-87.1643295288086,-6.164339065551758,1010.9066162109375,nan,nan,nan,
2023030700,24,2023030800,-86.45072937011719,-6.6995463371276855,1010.1534423828125,-85.73711395263672,-6.521144866943359,1008.75,81.28
2023030700,30,2023030806,-85.91551208496094,-5.985934734344482,1010.609130859375,nan,nan,nan,
2023030700,36,2023030812,-86.80753326416016,-5.985934734344482,1010.5332641601562,nan,nan,nan,
2023030700,42,2023030818,-86.71833038330078,-6.877950191497803,1011.4589233398438,nan,nan,nan,
2023030700,48,2023030900,-86.00472259521484,-7.413158416748047,1010.6486206054688,-85.5587158203125,-6.431943893432617,1009.5670166015625,119.70
2023030700,54,2023030906,-85.38031005859375,-7.056352615356445,1011.3843994140625,nan,nan,nan,
2023030700,60,2023030912,-85.73711395263672,-6.2535400390625,1010.951416015625,nan,nan,nan,
2023030700,66,2023030918,-85.38031005859375,-6.431943893432617,1010.66455078125,nan,nan,nan,
2023030700,72,2023031000,-85.20189666748047,-6.967151641845703,1009.8382568359375,-85.73711395263672,-7.2347564697265625,1009.003173828125,66.13
2023030700,78,2023031006,-86.00472259521484,-7.1455535888671875,1010.808837890625,nan,nan,nan,
2023030700,84,2023031012,-86.53993225097656,-7.859165191650391,1010.6748657226562,nan,nan,nan,
2023030700,90,2023031018,-86.62913513183594,-8.66197681427002,1010.8382568359375,nan,nan,nan,
2023030700,96,2023031100,-87.43194580078125,-8.929582595825195,1009.3975219726562,-84.04228210449219,-8.929582595825195,1007.9478759765625,372.34
2023030700,102,2023031106,-86.53993225097656,-8.929582595825195,1010.009033203125,nan,nan,nan,
2023030700,108,2023031112,-86.00472259521484,-8.39437484741211,1010.4180297851562,nan,nan,nan,
2023030700,114,2023031118,-85.91551208496094,-9.286388397216797,1010.7318115234375,nan,nan,nan,
2023030700,120,2023031200,-86.53993225097656,-8.66197681427002,1009.8668823242188,-84.1314926147461,-10.535207748413086,1008.656005859375,336.31
2023030800,0,2023030800,-85.73711395263672,-6.521144866943359,1008.75,-85.73711395263672,-6.521144866943359,1008.75,0.00
2023030800,6,2023030806,-85.20189666748047,-5.807532787322998,1010.4790649414062,nan,nan,nan,
2023030800,12,2023030812,-84.75590515136719,-5.093921661376953,1010.58251953125,nan,nan,nan,
2023030800,18,2023030818,-84.39909362792969,-5.89673376083374,1011.0211181640625,nan,nan,nan,
2023030800,24,2023030900,-83.7746810913086,-5.3615264892578125,1009.533935546875,-85.5587158203125,-6.431943893432617,1009.5670166015625,230.44
2023030800,30,2023030906,-83.41787719726562,-5.3615264892578125,1010.9666137695312,nan,nan,nan,
2023030800,36,2023030912,-83.7746810913086,-6.164339065551758,1010.8407592773438,nan,nan,nan,
2023030800,42,2023030918,-83.7746810913086,-7.056352615356445,1010.3011474609375,nan,nan,nan,
2023030800,48,2023031000,-83.68547821044922,-6.610345840454102,1009.6766357421875,-85.73711395263672,-7.2347564697265625,1009.003173828125,236.87
2023030800,54,2023031006,-83.68547821044922,-6.6995463371276855,1010.667236328125,nan,nan,nan,
2023030800,60,2023031012,-84.48829650878906,-6.967151641845703,1010.7714233398438,nan,nan,nan,
2023030800,66,2023031018,-85.11270141601562,-7.056352615356445,1011.1216430664062,nan,nan,nan,
2023030800,72,2023031100,-84.30989074707031,-7.056352615356445,1009.8262329101562,-84.04228210449219,-8.929582595825195,1007.9478759765625,210.37
2023030800,78,2023031106,-84.22069549560547,-7.76996374130249,1010.427490234375,nan,nan,nan,
2023030800,84,2023031112,-84.93429565429688,-8.305171966552734,1011.1941528320312,nan,nan,nan,
2023030800,90,2023031118,-85.46951293945312,-8.929582595825195,1010.9676513671875,nan,nan,nan,
2023030800,96,2023031200,-85.02349853515625,-8.215970993041992,1010.25634765625,-84.1314926147461,-10.535207748413086,1008.656005859375,275.83
2023030800,102,2023031206,-85.5587158203125,-8.929582595825195,1011.0703125,nan,nan,nan,
2023030800,108,2023031212,-86.2723159790039,-9.464789390563965,1011.5840454101562,nan,nan,nan,
2023030800,114,2023031218,-85.5587158203125,-9.018783569335938,1011.385986328125,nan,nan,nan,
2023030800,120,2023031300,-86.36151885986328,-8.751178741455078,1010.549072265625,nan,nan,nan,
2023030900,0,2023030900,-85.5587158203125,-6.431943893432617,1009.5670166015625,-85.5587158203125,-6.431943893432617,1009.5670166015625,0.00
2023030900,6,2023030906,-85.73711395263672,-6.967151641845703,1011.682861328125,nan,nan,nan,
2023030900,12,2023030912,-85.38031005859375,-6.164339065551758,1011.258544921875,nan,nan,nan,
2023030900,18,2023030918,-85.29109954833984,-7.056352615356445,1011.0979614257812,nan,nan,nan,
2023030900,24,2023031000,-85.38031005859375,-7.2347564697265625,1010.333740234375,-85.73711395263672,-7.2347564697265625,1009.003173828125,39.36
2023030900,30,2023031006,-84.84510040283203,-7.76996374130249,1010.945068359375,nan,nan,nan,
2023030900,36,2023031012,-84.66670989990234,-8.572776794433594,1011.4185791015625,nan,nan,nan,
2023030900,42,2023031018,-85.20189666748047,-9.286388397216797,1010.8900146484375,nan,nan,nan,
