init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023030800,0,2023030800,-85.7371,-6.5211,1008.75,-85.7371,-6.5211,1008.75,0.00
2023030800,6,2023030806,-85.2019,-5.8075,1010.48,,,,
2023030800,12,2023030812,-84.7559,-5.0939,1010.58,,,,
2023030800,18,2023030818,-84.3991,-5.8967,1011.02,,,,
2023030800,24,2023030900,-83.7747,-5.3615,1009.53,-85.5587,-6.4319,1009.57,230.44
2023030800,30,2023030906,-83.4179,-5.3615,1010.97,,,,
2023030800,36,2023030912,-83.7747,-6.1643,1010.84,,,,
2023030800,42,2023030918,-83.7747,-7.0564,1010.30,,,,
2023030800,48,2023031000,-83.6855,-6.6103,1009.68,-85.7371,-7.2348,1009.00,236.87
2023030800,54,2023031006,-83.6855,-6.6995,1010.67,,,,
2023030800,60,2023031012,-84.4883,-6.9672,1010.77,,,,
2023030800,66,2023031018,-85.1127,-7.0564,1011.12,,,,
2023030800,72,2023031100,-84.3099,-7.0564,1009.83,-84.0423,-8.9296,1007.95,210.37
2023030800,78,2023031106,-84.2207,-7.7700,1010.43,,,,
2023030800,84,2023031112,-84.9343,-8.3052,1011.19,,,,
2023030800,90,2023031118,-85.4695,-8.9296,1010.97,,,,
2023030800,96,2023031200,-85.0235,-8.2160,1010.26,-84.1315,-10.5352,1008.66,275.83
2023030800,102,2023031206,-85.5587,-8.9296,1011.07,,,,
2023030800,108,2023031212,-86.2723,-9.4648,1011.58,,,,
2023030800,114,2023031218,-85.5587,-9.0188,1011.39,,,,
2023030800,120,2023031300,-86.3615,-8.7512,1010.55,,,,
