init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023031000,0,2023031000,-85.7371,-7.2348,1009.00,-85.7371,-7.2348,1009.00,0.00
2023031000,6,2023031006,-86.0047,-8.0376,1010.52,,,,
2023031000,12,2023031012,-85.2019,-8.3944,1010.73,,,,
2023031000,18,2023031018,-85.1127,-9.2864,1010.78,,,,
2023031000,24,2023031100,-84.8451,-9.8216,1009.81,-84.0423,-8.9296,1007.95,132.65
2023031000,30,2023031106,-84.7559,-10.5352,1010.21,,,,
2023031000,36,2023031112,-85.1127,-9.9108,1010.52,,,,
2023031000,42,2023031118,-85.4695,-10.3568,1010.65,,,,
2023031000,48,2023031200,-84.7559,-9.8216,1009.89,-84.1315,-10.5352,1008.66,104.72
2023031000,54,2023031206,-84.8451,-9.1080,1010.48,,,,
2023031000,60,2023031212,-85.0235,-9.3756,1010.77,,,,
2023031000,66,2023031218,-85.0235,-9.4648,1010.87,,,,
2023031000,72,2023031300,-85.5587,-8.7512,1009.89,,,,
2023031000,78,2023031306,-85.7371,-9.4648,1011.05,,,,
2023031000,84,2023031312,-86.6291,-9.6432,1011.08,,,,
2023031000,90,2023031318,-86.0939,-8.9296,1011.26,,,,
2023031000,96,2023031400,-86.5399,-8.5728,1010.45,,,,
2023031000,102,2023031406,-86.4507,-8.7512,1011.11,,,,
2023031000,108,2023031412,-87.3427,-8.6620,1011.01,,,,
2023031000,114,2023031418,-87.2535,-8.9296,1011.08,,,,
2023031000,120,2023031500,-87.2535,-8.9296,1010.80,,,,
