init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023031200,0,2023031200,-84.1315,-10.5352,1008.66,-84.1315,-10.5352,1008.66,0.00
2023031200,6,2023031206,-84.6667,-10.0892,1009.86,,,,
2023031200,12,2023031212,-85.2019,-10.1784,1010.79,,,,
2023031200,18,2023031218,-85.3803,-10.0892,1010.83,,,,
2023031200,24,2023031300,-85.7371,-9.2864,1010.10,,,,
2023031200,30,2023031306,-85.4695,-9.6432,1010.81,,,,
2023031200,36,2023031312,-86.2723,-9.9108,1010.96,,,,
2023031200,42,2023031318,-85.3803,-9.7324,1010.57,,,,
2023031200,48,2023031400,-85.1127,-9.7324,1010.10,,,,
2023031200,54,2023031406,-85.8263,-9.8216,1010.34,,,,
2023031200,60,2023031412,-86.1831,-10.6244,1010.63,,,,
2023031200,66,2023031418,-86.0939,-10.7136,1010.68,,,,
2023031200,72,2023031500,-86.7183,-11.1596,1010.19,,,,
2023031200,78,2023031506,-87.4319,-11.5164,1011.24,,,,
2023031200,84,2023031512,-87.5211,-12.4084,1011.30,,,,
2023031200,90,2023031518,-88.3240,-12.6760,1011.64,,,,
2023031200,96,2023031600,-89.2160,-12.8544,1010.76,,,,
2023031200,102,2023031606,-90.0188,-13.2113,1011.44,,,,
2023031200,108,2023031612,-90.7324,-12.6760,1011.12,,,,
2023031200,114,2023031618,-90.8216,-12.8544,1011.84,,,,
2023031200,120,2023031700,-91.3568,-12.2300,1010.96,,,,
