init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023030700,0,2023030700,-87.6995,-7.7700,1008.19,-87.6995,-7.7700,1008.19,0.00
2023030700,6,2023030706,-87.6995,-6.9672,1010.27,,,,
2023030700,12,2023030712,-87.5211,-6.6103,1010.28,,,,
2023030700,18,2023030718,-87.1643,-6.1643,1010.91,,,,
2023030700,24,2023030800,-86.4507,-6.6995,1010.15,-85.7371,-6.5211,1008.75,81.28
2023030700,30,2023030806,-85.9155,-5.9859,1010.61,,,,
2023030700,36,2023030812,-86.8075,-5.9859,1010.53,,,,
2023030700,42,2023030818,-86.7183,-6.8780,1011.46,,,,
2023030700,48,2023030900,-86.0047,-7.4132,1010.65,-85.5587,-6.4319,1009.57,119.70
2023030700,54,2023030906,-85.3803,-7.0564,1011.38,,,,
2023030700,60,2023030912,-85.7371,-6.2535,1010.95,,,,
2023030700,66,2023030918,-85.3803,-6.4319,1010.66,,,,
2023030700,72,2023031000,-85.2019,-6.9672,1009.84,-85.7371,-7.2348,1009.00,66.13
2023030700,78,2023031006,-86.0047,-7.1456,1010.81,,,,
2023030700,84,2023031012,-86.5399,-7.8592,1010.67,,,,
2023030700,90,2023031018,-86.6291,-8.6620,1010.84,,,,
2023030700,96,2023031100,-87.4319,-8.9296,1009.40,-84.0423,-8.9296,1007.95,372.34
2023030700,102,2023031106,-86.5399,-8.9296,1010.01,,,,
2023030700,108,2023031112,-86.0047,-8.3944,1010.42,,,,
2023030700,114,2023031118,-85.9155,-9.2864,1010.73,,,,
2023030700,120,2023031200,-86.5399,-8.6620,1009.87,-84.1315,-10.5352,1008.66,336.31
